task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	7d/f3d32e	2732722	pipeline:deNovoPipeline_spoa:spoa (4)	COMPLETED	0	2026-03-18 23:22:30.164	9m 24s	9m 24s	100.1%	1.6 GB	2.5 GB	8.4 MB	2.3 KB
107	65/e845cf	2770627	pipeline:deNovoPipeline_spoa:alignDraft (5)	COMPLETED	0	2026-03-18 23:31:54.493	500ms	337ms	283.2%	11.6 MB	375.6 MB	22.6 MB	18.1 MB
109	1f/dc4108	2770914	pipeline:deNovoPipeline_spoa:mosdepthPerBase (5)	COMPLETED	0	2026-03-18 23:31:55.001	195ms	16ms	166.7%	5.9 MB	17.2 MB	5.1 MB	30.3 KB
108	89/580aa7	2770908	pipeline:deNovoPipeline_spoa:bamstatsDraft (5)	COMPLETED	0	2026-03-18 23:31:54.999	356ms	186ms	104.7%	32.3 MB	452.9 MB	4.9 MB	609.2 KB
110	82/d606b5	2770924	pipeline:deNovoPipeline_spoa:medakaInference (5)	COMPLETED	0	2026-03-18 23:31:55.004	2.2s	2.1s	106.6%	403 MB	1.1 GB	43 MB	1.7 MB
111	06/3a6ebe	2771640	pipeline:deNovoPipeline_spoa:medakaStitch (5)	COMPLETED	0	2026-03-18 23:31:57.245	1.4s	1.3s	100.9%	325.7 MB	976.5 MB	33.8 MB	11.7 KB
112	26/b956b0	2771902	pipeline:deNovoPipeline_spoa:trimAndQC (5)	COMPLETED	0	2026-03-18 23:31:58.694	972ms	785ms	186.0%	10.2 MB	14.3 MB	11.3 MB	8.9 MB
120	68/358d8e	2772124	pipeline:concatTSVs (7)	COMPLETED	0	2026-03-18 23:31:59.673	208ms	6ms	76.9%	0	0	62.8 KB	353 B
119	fa/93700f	2772130	pipeline:concatTSVs (6)	COMPLETED	0	2026-03-18 23:31:59.675	255ms	8ms	0.0%	2.8 MB	3.8 MB	62.8 KB	351 B
115	41/bab057	2772140	pipeline:concatTSVs (2)	COMPLETED	0	2026-03-18 23:31:59.678	281ms	7ms	0.0%	0	0	62.8 KB	350 B
114	fb/f6a67d	2772242	pipeline:concatTSVs (1)	COMPLETED	0	2026-03-18 23:31:59.689	282ms	6ms	0.0%	2.8 MB	3.8 MB	62.8 KB	350 B
116	7a/51ad14	2772162	pipeline:concatTSVs (3)	COMPLETED	0	2026-03-18 23:31:59.680	307ms	7ms	0.0%	2.8 MB	3.8 MB	62.8 KB	354 B
117	96/ff670a	2772200	pipeline:concatTSVs (4)	COMPLETED	0	2026-03-18 23:31:59.685	335ms	7ms	0.0%	0	0	62.8 KB	355 B
118	43/3e77cc	2773469	pipeline:concatTSVs (5)	COMPLETED	0	2026-03-18 23:31:59.884	291ms	18ms	0.0%	2.8 MB	3.8 MB	62.8 KB	354 B
121	96/1ff95c	2773557	pipeline:concatTSVs (8)	COMPLETED	0	2026-03-18 23:31:59.936	250ms	7ms	0.0%	2.7 MB	3.8 MB	62.8 KB	351 B
